number, result, threads, time
568333, 161500915278, 1, 42491.745948791504
568333, 161500915278, 2, 42522.76420593262
568333, 161500915278, 3, 49395.41816711426
568333, 161500915278, 4, 47443.1037902832
568333, 161500915278, 5, 47541.35608673096
568333, 161500915278, 6, 48195.43361663818
568333, 161500915278, 7, 39077.019691467285
568333, 161500915278, 8, 46078.13358306885
568333, 161500915278, 9, 45203.97186279297
568333, 161500915278, 10, 40575.17051696777
568333, 161500915278, 11, 43293.97678375244
568333, 161500915278, 12, 43817.56782531738
568333, 161501483611, 13, 48642.802238464355
568333, 161500915278, 14, 47768.64051818848
568333, 161500915278, 15, 49323.79722595215
568333, 161500915278, 16, 43969.65503692627
568333, 161500915278, 17, 42949.89109039307
568333, 161500915278, 18, 42141.50905609131
568333, 161500915278, 19, 43742.84744262695
